antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
organic fuji apple,banana,0.034815898659076784,0.17255617245595398,0.013268926259245155,0.3811168681635003,2.208653928394145,1.0,0.007261228046020485,1.3369952822734958,0.5669752959004765,0.06836018174308138,0.2520542044848892,0.22900656975372136
bag of organic bananas,organic strawberries,0.1366579142530717,0.09416528031107815,0.02210819586699004,0.16177764740393077,1.7180180090739698,1.0,0.009239765064622261,1.0806616130952,0.4840884413079409,0.1059252857005666,0.07464095339166486,0.19827920258659715
organic strawberries,bag of organic bananas,0.09416528031107815,0.1366579142530717,0.02210819586699004,0.23478075776926352,1.7180180090739698,1.0,0.009239765064622261,1.1282284057966814,0.4613798914092213,0.1059252857005666,0.11365465107762,0.19827920258659715
banana,organic strawberries,0.17255617245595398,0.09416528031107815,0.02016395742719128,0.11685445464049252,1.2409505313897002,1.0,0.003915157078469629,1.0256913194531012,0.23465774800352487,0.0817819689456142,0.025047808210758568,0.1654940642721407
organic strawberries,banana,0.09416528031107815,0.17255617245595398,0.02016395742719128,0.21413367390378885,1.2409505313897002,1.0,0.003915157078469629,1.0529065822865462,0.21435047801831067,0.0817819689456142,0.05024812568998424,0.1654940642721407
organic strawberries,organic hass avocado,0.09416528031107815,0.07861137279268807,0.014190936241005392,0.15070242656449553,1.9170562885592162,1.0,0.006788474286343257,1.0848831505313161,0.5280951339771758,0.08948432760364004,0.07824174473513121,0.16561128467439462
organic hass avocado,organic strawberries,0.07861137279268807,0.09416528031107815,0.014190936241005392,0.1805201427842937,1.9170562885592162,1.0,0.006788474286343257,1.1053776510951934,0.5191803909119298,0.08948432760364004,0.09533180898925049,0.16561128467439462
bag of organic bananas,organic hass avocado,0.1366579142530717,0.07861137279268807,0.02317051171553988,0.16955118803168087,2.156827721083271,1.0,0.01242764547312046,1.1095068280288685,0.6212556023623532,0.12061769616026712,0.09869865174549348,0.23214938289906328
organic hass avocado,bag of organic bananas,0.07861137279268807,0.1366579142530717,0.02317051171553988,0.29474757776644567,2.1568277210832707,1.0,0.01242764547312046,1.2241603977944515,0.5821171346027461,0.12061769616026712,0.1831135839701377,0.23214938289906328
organic baby spinach,organic hass avocado,0.0874706860956886,0.07861137279268807,0.012948227135154637,0.14802933088909256,1.883052357824507,1.0,0.006072036422054264,1.081479281638706,0.5138983630371825,0.08455497382198952,0.07534058490260212,0.15637060629105315
organic hass avocado,organic baby spinach,0.07861137279268807,0.0874706860956886,0.012948227135154637,0.16471188169301376,1.8830523578245073,1.0,0.006072036422054264,1.0924725180502775,0.5089571401160305,0.08455497382198952,0.08464516637481384,0.15637060629105315
organic raspberries,bag of organic bananas,0.050550199434767795,0.1366579142530717,0.01579443186145798,0.31245043616177637,2.2863691273903175,1.0,0.00888634704162581,1.2556797809998577,0.5925803602840343,0.0921421889616464,0.2036186174760798,0.21401342576642646
bag of organic bananas,organic raspberries,0.1366579142530717,0.050550199434767795,0.01579443186145798,0.11557641537107657,2.2863691273903175,1.0,0.00888634704162581,1.073523837521352,0.651682935627758,0.0921421889616464,0.06848831386092975,0.21401342576642646
organic raspberries,organic strawberries,0.050550199434767795,0.09416528031107815,0.012306828886973603,0.24345757335448057,2.5854282231222627,1.0,0.007546755187417789,1.1973349911192144,0.6458655081874008,0.0929458068422646,0.1648118467954858,0.18707574282879413
organic strawberries,organic raspberries,0.09416528031107815,0.050550199434767795,0.012306828886973603,0.1306939123031077,2.5854282231222627,1.0,0.007546755187417789,1.0921927431575564,0.6769633185964418,0.0929458068422646,0.08441069008664626,0.18707574282879413
banana,cucumber kirby,0.17255617245595398,0.03559760277404742,0.012206610410695316,0.07073992333604368,1.9872103125892766,1.0,0.006064024327398243,1.0378175297147783,0.600381540112307,0.06229541734860884,0.03643947864820857,0.20682266437072455
cucumber kirby,banana,0.03559760277404742,0.17255617245595398,0.012206610410695316,0.34290540540540543,1.9872103125892766,1.0,0.006064024327398243,1.2592461334346408,0.5151190011205707,0.06229541734860884,0.20587407541013233,0.20682266437072455
honeycrisp apple,banana,0.02916357659698142,0.17255617245595398,0.010262371970896555,0.3518900343642612,2.0392781629071153,1.0,0.005230016818195406,1.2767028304099546,0.5249395223206913,0.053601340033500845,0.2167323701484268,0.2056813396353772
banana,honeycrisp apple,0.17255617245595398,0.02916357659698142,0.010262371970896555,0.05947264490649321,2.0392781629071153,1.0,0.005230016818195406,1.032225610605976,0.6159093721991427,0.053601340033500845,0.03121954180836264,0.2056813396353772
organic baby spinach,organic avocado,0.0874706860956886,0.06546270870497685,0.010482852618708785,0.11984417965169569,1.830724423454608,1.0,0.004756784574602253,1.0617861856838013,0.4972641830719156,0.07358941888279162,0.058190798219898116,0.13998945051170208
organic avocado,organic baby spinach,0.06546270870497685,0.0874706860956886,0.010482852618708785,0.1601347213717085,1.8307244234546078,1.0,0.004756784574602253,1.086518679989603,0.4855538115327636,0.07358941888279162,0.07962926140435146,0.13998945051170208
organic avocado,banana,0.06546270870497685,0.17255617245595398,0.019783127217333787,0.30220453153704835,1.7513400258932372,1.0,0.008487132764603923,1.1857970779986196,0.45905996180914904,0.0906502571638501,0.15668539031332976,0.208425996747732
banana,organic avocado,0.17255617245595398,0.06546270870497685,0.019783127217333787,0.11464746195841562,1.7513400258932375,1.0,0.008487132764603923,1.055553862602841,0.5184746552820012,0.0906502571638501,0.052630059508146136,0.208425996747732
large lemon,banana,0.05620252149686316,0.17255617245595398,0.01525325208955523,0.27139800285306703,1.5728095900037597,1.0,0.005555160097683049,1.1356595655572712,0.38588270929810997,0.07144198272624859,0.11945442954174622,0.17989693382286293
banana,large lemon,0.17255617245595398,0.05620252149686316,0.01525325208955523,0.08839586479265885,1.5728095900037597,1.0,0.005555160097683049,1.0353150474558492,0.4401448363141346,0.07144198272624859,0.03411043579694061,0.17989693382286293
strawberries,banana,0.052193782445731696,0.17255617245595398,0.015694213385179692,0.30069124423963134,1.7425702016911893,1.0,0.00668785406034547,1.183231041693957,0.4496014270728178,0.075071907957814,0.15485652018699306,0.19582128712155802
banana,strawberries,0.17255617245595398,0.052193782445731696,0.015694213385179692,0.09095133000348472,1.742570201691189,1.0,0.00668785406034547,1.0426352832768586,0.5150017606218773,0.075071907957814,0.04089184776373753,0.19582128712155802
